Date,Total,Fully_Remote,Some_Remote,Total_Adjusted,Full_Time_Total,FT_Fully_Remote,FT_Some_Remote,FT_Total_Adjusted,Part_Time_Total,PT_Fully_Remote,PT_Some_Remote,PT_Total_Adjusted,,,,
2020/5/1,35.4,,,48.1,38,,,51.3,21,,,30.2,,,,
2020/6/1,31.3,,,44,33.5,,,46.8,19.4,,,28.6,,,,
2020/7/1,26.4,,,39.1,28.5,,,41.8,15.6,,,24.8,,,,
2020/8/1,24.3,,,37,26.5,,,39.8,12.6,,,21.8,,,,
2020/9/1,22.7,,,35.4,24.8,,,38.1,12,,,21.2,,,,
2020/10/1,21.2,,,33.9,23.2,,,36.5,12.2,,,21.4,,,,
2020/11/1,21.8,,,34.5,23.8,,,37.1,12.2,,,21.4,,,,
2020/12/1,23.7,,,36.4,25.9,,,39.2,12.8,,,22,,,,
2021/1/1,23.2,,,35.9,25.5,,,38.8,12,,,21.2,,,,
2021/2/1,22.7,,,35.4,24.8,,,38.1,12.2,,,21.4,,,,
2021/3/1,21,,,33.7,22.9,,,36.2,11.3,,,20.5,,,,
2021/4/1,18.3,,,31,20,,,33.3,9.7,,,18.9,,,,
2021/5/1,16.6,,,29.3,18.2,,,31.5,8.4,,,17.6,,,,
2021/6/1,14.4,,,27.1,16,,,29.3,6.8,,,16,,,,
2021/7/1,13.2,,,25.9,14.6,,,27.9,6.1,,,15.3,,,,
2021/8/1,13.4,,,26.1,14.7,,,28.0,6.4,,,15.6,,,,
2021/9/1,13.2,,,25.9,14.5,,,27.8,6.8,,,16,,,,
2021/10/1,11.6,,,24.3,12.9,,,26.2,5.6,,,14.8,,,,
2021/11/1,11.3,,,24,12.5,,,25.8,5.2,,,14.4,,,,
2021/12/1,11.1,,,23.8,12.4,,,25.7,5.1,,,14.3,,,,
2022/1/1,15.4,,,28.1,17.1,,,30.4,6.8,,,16,,,,
2022/2/1,13,,,25.7,14.5,,,27.8,5.7,,,14.9,,,,
2022/3/1,10,,,22.7,11.2,,,24.5,4.2,,,13.4,,,,
2022/4/1,7.7,,,20.4,8.7,,,22.0,3,,,12.2,,,,
2022/5/1,7.4,,,20.1,8.2,,,21.5,3.3,,,12.5,,,,
2022/6/1,7.1,,,19.8,7.8,,,21.1,3.3,,,12.5,,,,
2022/7/1,7.1,,,19.8,7.8,,,21.1,3.2,,,12.4,,,,
2022/8/1,6.5,,,19.2,7.2,,,20.5,2.7,,,11.9,,,,
2022/9/1,5.2,,,17.9,5.8,,,19.1,2.3,,,11.5,,,,
2022/10/1,17.9,9.7,8.2,17.9,19.1,10.1,9.0,19.1,11.5,7.7,3.8,11.5,,,,
2022/11/1,18.5,10.1,8.4,18.5,20.0,10.6,9.4,20.0,11.1,7.6,3.5,11.1,,,,
2022/12/1,19.0,10.3,8.7,19.0,20.3,10.7,9.6,20.3,12.1,8.5,3.6,12.1,,,,
2023/1/1,19.4,10.7,8.7,19.4,20.8,11.1,9.7,20.8,12.2,8.5,3.7,12.2,,,,
2023/2/1,20.0,10.6,9.4,20.0,21.5,10.9,10.6,21.5,12.5,8.8,3.7,12.5,,,,
2023/3/1,19.5,10.6,8.9,19.5,20.9,10.9,10.0,20.9,12.4,9.0,3.4,12.4,,,,
2023/4/1,18.5,10.1,8.4,18.5,19.9,10.5,9.4,19.9,11.6,8.0,3.6,11.6,,,,
2023/5/1,18.9,10.0,8.9,18.9,20.4,10.4,10.0,20.4,11.6,8.3,3.3,11.6,,,,
2023/6/1,19.0,10.1,8.9,19.0,20.1,10.3,9.8,20.1,12.7,8.8,3.9,12.7,,,,
2023/7/1,19.9,10.6,9.3,19.9,21.2,10.8,10.4,21.2,13.4,9.3,4.1,13.4,,,,
2023/8/1,19.5,10.3,9.2,19.5,20.7,10.5,10.2,20.7,13.1,9.1,4.0,13.1,,,,
2023/9/1,19.8,10.0,9.8,19.8,21.1,10.3,10.8,21.1,12.7,8.7,4.0,12.7,,,,
2023/10/1,19.8,10.1,9.7,19.8,21.1,10.4,10.7,21.1,12.7,8.6,4.1,12.7,,,,
2023/11/1,20.5,10.0,10.5,20.5,21.9,10.2,11.7,21.9,13.6,9.2,4.4,13.6,,,,
2023/12/1,21.9,10.5,11.4,21.9,23.3,10.6,12.7,23.3,15.2,9.8,5.4,15.2,,,,
2024/1/1,22.9,11.1,11.8,22.9,24.6,11.3,13.3,24.6,14.9,10.1,4.8,14.9,,,,
2024/2/1,22.7,10.9,11.8,22.7,24.3,11.0,13.3,24.3,14.9,10.1,4.8,14.9,,,,
2024/3/1,23.0,10.9,12.1,23.0,24.6,11.1,13.5,24.6,15.5,9.9,5.6,15.5,,,,
2024/4/1,21.5,10.2,11.3,21.5,22.9,10.4,12.5,22.9,14.9,9.5,5.4,14.9,,,,
2024/5/1,21.7,10.3,11.4,21.7,23.0,10.3,12.7,23.0,15.5,10.4,5.1,15.5,,,,
2024/6/1,22.3,10.8,11.5,22.3,23.6,10.8,12.8,23.6,16.1,10.8,5.3,16.1,,,,
2024/7/1,23.0,11.4,11.6,23.0,24.2,11.5,12.7,24.2,16.6,10.9,5.7,16.6,,,,
2024/8/1,22.8,11.1,11.7,22.8,24.2,11.3,12.9,24.2,15.7,10.2,5.5,15.7,,,,
2024/9/1,23.7,11.1,12.6,23.7,25.1,11.2,13.9,25.1,17.0,10.8,6.2,17.0,,,,
2024/10/1,23.8,11.1,12.7,23.8,25.3,11.1,14.2,25.3,16.4,10.7,5.7,16.4,,,,
